	Statistic Measure	Naive Bayes	Random Forest	SVM	KNN	My Method
0	Accuracy	89.15580631489722	89.15580631489722	89.15580631489722	93.33333333333333	93.33333333333333
1	Precision	87.49999999999999	87.49999999999999	87.49999999999999	 	 
2	Recall	86.09729714729714	86.09729714729714	86.09729714729714	 	 
3	F-Measure	87.67500983864622	87.67500983864622	87.67500983864622	 	 
